7.95, 2.18, 0
2.07, -5.19, 1
-2.65, 6.56, 1
3.92, -4.12, 1
-1.57, -9.04, 0
2.24, -5.98, 1
-4.21, 1.15, 1
-1.79, 2.32, 1
5.98, 4.81, 0
3.49, -9.13, 1
-4.50, 7.10, 1
-3.27, -2.77, 0
-2.28, 4.10, 1
-0.95, -1.54, 0
5.65, -3.53, 1
-2.36, 3.15, 1
-0.80, -6.42, 0
3.36, 6.17, 0
7.85, -2.09, 1
1.98, 1.73, 0
-0.90, 7.88, 1
-6.94, -1.43, 0
-7.74, -9.88, 0
9.51, -7.43, 1
-7.85, -7.24, 0
-7.16, -8.31, 0
2.01, -2.53, 1
4.90, -7.28, 1
9.32, 8.76, 0
-8.42, 7.04, 1
5.13, 7.42, 0
2.09, 6.07, 0
3.66, -6.79, 1
-2.05, 0.18, 1
0.04, -7.46, 1
6.09, -2.41, 1
2.61, -5.04, 1
8.06, -8.99, 1
7.04, -1.53, 1
4.98, 5.65, 0
1.30, 9.28, 0
-7.82, 2.74, 1
0.90, 4.24, 0
0.57, 6.13, 0
7.16, -5.06, 1
2.93, -9.62, 1
-1.05, -7.02, 0
5.94, -8.53, 1
-4.78, -8.36, 0
1.68, 5.53, 0
3.85, 2.57, 0
-2.65, -2.76, 0
-1.61, 4.66, 1
-1.23, -6.82, 0
-6.10, 1.98, 1
5.39, 4.08, 0
-5.99, -7.68, 0
-0.39, -7.82, 0
-3.81, -5.42, 0
-6.98, -3.58, 0
-2.93, 3.14, 1
3.09, 8.48, 0
-2.38, -5.77, 0
3.05, -1.90, 1
-6.94, -7.69, 0
5.32, -4.06, 1
-0.44, -9.49, 0
-5.62, -8.19, 0
7.23, 5.06, 0
3.90, -7.83, 1
8.50, -8.28, 1
0.35, 0.66, 0
-7.30, 1.20, 1
3.23, 9.44, 0
8.51, -8.12, 1
-0.69, -6.02, 0
0.23, -3.74, 1
-6.38, 9.39, 1
-1.27, 1.81, 1
2.49, -5.17, 1
7.83, 6.36, 0
-3.44, -3.57, 0
2.23, 5.04, 0
-5.78, 6.93, 1
-2.03, 0.09, 1
-6.47, -1.19, 0
-4.20, -4.20, 0
-3.35, 3.89, 1
2.45, 7.00, 0
-5.52, -3.59, 0
-9.53, 0.05, 1
3.44, 0.26, 0
-3.30, -3.47, 0
-8.21, 2.29, 1
-9.66, -9.03, 0
-4.45, 9.60, 1
0.34, 4.08, 0
9.56, -3.26, 1
-0.15, -0.44, 0
-4.31, -2.49, 0
